sentence_a,sentence_b,answer
A switch will affect a bulb it the bulb and the switch are in the path as the battery,When the switch and the bulb are contained in the same path,2
The switch determines whether the path is open or closed.,If a bulb and a switch are in the same path the switch affects the bulb,0
because there is a gap,Terminal 1 and the positive terminal are separated by the gap,0
not contained insa me path,A and B have their own path,0
a rank or position relative to others,take or have a position relative to others.,1
"""The electrical state at the terminal matches the battery""""s electrical state""",terminal 1 is connected to the negative battery terminal,1
When one bulb goes out it creates a gap on the path.,each bulb is in its own path,1
there is a gap between the postive terminal 6,There is no gap between terminal 6 and the positive terminal,1
it was copntained ina closed circuit,Bulb A is still contained in a closed path with the battery.,0
"these words refer to parts merging to form a whole. (the parts may also be encoded as part_1 and part_2.) there is a symmetrical relationship between the components that undergo the process, and afterwards the parts are consumed and are no longer distinct entities that are easily discernable or separable in the whole.",a collection of things that have been combined; an assemblage of separate parts or qualities,0
an agent manipulates an instrument in order to achieve a purpose.,put into service; make work or employ for a particular purpose or for its inherent or natural purpose;,0
because there is a gap in bulb b,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",1
because bulb a is contained within the same closed path as the battery,Bulb A was still contained in the same closed path with the battery.,3
Burnt bulbs have no voltage at one of there terminals.,A non-zero voltage means that the terminals are not connected.,0
the closed path is connected to the light bulb,Bulb A was still contained in the same closed path with the battery.,1
circuit 5 only has 1 terminal,The battery is contained in a path which does not contain any other components,0
a state of exposure to harm,a state of extreme poverty.,0
There is a gap between the postive terminal and terminal 1,Terminal 1 and the positive terminal are separated by the gap,5
there is a gap in the circuit,Terminals 1 and 4 are connected,0
The bulb is in a closed circuit and the battery exists in that circuit,The battery in 2 is not in a closed path,0
the other bulb will not light.,The damaged bulb and the other bulb must be contained in the same path,1
"A total of 11 people were taken to hospital for treatment due to minor injuries, said London Ambulance Service.","as alleged by london ambulance service , altogether , 11 individuals were treated for mild harms and were sent to the hospital .",3
When a bulb is damaged it creates a gap in the circuit,a damaged bulb creates a gap,4
positive battery terminal is not separated by a gap from terminal 4,Terminal 4 and the positive terminal are not separated by the gap,5
The positive battery is separated by a gap from terminal 3.,terminal 2 is not separated from the negative battery terminal,0
there is a damaged bulb,terminal 6 is separated by a gap from the negative battery terminal,0
Bulbs a and c are in separate paths.,"A, B and C are in different paths",2
the path must be closed in order for the bulb to be lit,If a bulb and a switch are in the same path the switch affects the bulb,1
the battery is a chemical reaction that does not rely on the circuit being complete or not.,A battery uses a chemical reaction to maintain different electrical states at the terminals,2
Agribusiness: Mad cow disease found in California,USDA Confirms Case of Mad Cow Disease in California,2
a closed circuit between a battery and bulb,the bulb and the battery are in a closed path,3
there is not gap between the terminals,terminal 1 is connected to the negative battery terminal,0
"one of my mates found me two years ago and i had n 't come across him for many years , and asserted he would like to conduct some business .","2 years ago , an acquaintance whom i had not met with for a long time came to me , asserting that he wanted to run a business .",0
because bulbs b and c are on a closed path with the battery,Bulb B and Bulb C were still contained in the same closed path with the battery.,4
because there is a positive and negative connections,Terminals 1 and 6 are not connected,0
had a closed path to the battery,Bulb A was still contained in the same closed path with the battery.,2
bulbs a and c are not in a closed path with bulb b,Bulb B is in a separate path,2
You have reached a point where the terminals are not connected to each other.,the terminals are not connected,3
Qaida leader calls for kidnap of Westerners in Egypt,Al-Qaida Leader Urges Kidnapping of Westerners,2
when switch z was closed bulb a was in a complete curcuit,Bulb A is still contained in a closed path with the battery and switch Z.,2
because it had no gap between the terminals,Bulb A is still contained in a closed path with the battery.,0
"with the seeming result, Where it is not possible to confirm or predict the ability of the Saudis to achieve what has been failed by the Yemeni armed forces against their countrymen, and Yemeni forces - - logically are the most able to deal with them than others. ","Where it is not possible to confirm or predict the ability of the Saudis to achieve what is failed to the Yemeni armed forces against their countrymen, and Yemeni - - logically able to deal with them than others.",2
the battery is not closed the bulb is.,The battery in 2 is not in a closed path,1
bulb b and bulb c are still contained in closed paths with the battery,"If bulb A burns out, B and C are no longer in a closed path with the battery",1
bulb b is a gap,"Terminals 4, 5 and 6 are separated from the negative battery terminal by a gap",0
The battery terminals have different electrical states.,A battery uses a chemical reaction to maintain different electrical states at the terminals,3
Putin Declares Victory in Russia Presidential Vote,Complaints in Russian election mount,0
There was no gap between terminal 6 and the positive terminal.,There is no gap between terminal 6 and the positive terminal,4
Not contained in a closed path,Bulb C was not in a closed path,1
switch y is not in the path to the battery,Bulb A is still in a closed path with the battery,1
because bulb a is damaged,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",0
the terminal is separated from the battery terminal,the terminals are separated by a gap,2
Bulb A and bulb C affect each other.,A and C are in the same closed path,1
an open switch causes a gap.,the open switch creates a gap,5
9/11 defendants ignore judge at Guantanamo hearing,Sept. 11 defendants enrage families at hearing,0
the battery is connected to itself in a closed path,The battery is contained in a closed path which does not contain any other components,3
"if the switch it is in the closed path, then it affects the bulb",If a bulb and a switch are in the same path the switch affects the bulb,3
Egyptians to vote for new president,Somali MPs to elect new president,0
